descriptions,height,images,links,texts,titles,types,url,width
"today,department,shop,to,home,door,your,the,at,you,of,from,range,and,find,online,mirrors,buy,ll,delivered,products,widest",4475.78,18,665,220,mirrors,,https://www.debenhams.com/home/home-accessories/mirrors#app-main,1903
"finish,table,vanity,burlington,styled,bedroom,be,to,oak,can,our,smooth,simply,the,this,or,ideal,dressing,mirror,added,is,settings,complementing,range,modern,and,traditional,lacquered,features,matching,for,veneer,adjustable",3971.83,10,622,145,"vanity,burlington,oak,mirror,finished",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_321009113999MISC_-1,1903
"accessories,shop,in,the,clothing,items,discover,of,back,stock,latest,must,from,range,and,men,shoes,those,have",1006,47,542,210,"back,stock,in,men,new","group,product",https://www.asos.com/men/new-in-back-in-stock/cat/?cid=17010&nlid=mw%7Cnew%20in%7Cnew%20products,1903
"options,cropped,shop,skinny,including,cs,in,now,with,next,chinos,at,unlimited,free,super,ts,order,payment,multiple,and,day,apply,black,design,delivery",1006,17,475,75,"design,cropped,super,skinny,in,chinos,black",product,https://www.asos.com/asos-design/asos-design-super-skinny-cropped-chinos-in-black/prd/11140777?clr=black&colourWayId=16311536&SearchQuery=&cid=17010,1903
"marks,gift,spencer,bees,from,you,re,bag,knees,buy,range,and,the",2869.38,6,784,172,"gift,bees,you,re,bag,knees,the",website,https://www.marksandspencer.com/you-re-the-bees-knees-available-for-delivery-from-1st-march-2019-/p/p60221490?prevPage=plp,1903
"orders,british,themed,john,partners,over,lewis,gifts,shop,from,at,for,delivery,on,range,our,free",7762,42,777,986,"british,themed,john,partners,lewis,gifts",,https://www.johnlewis.com/browse/gifts/british-themed-gifts/price=40-50/_/N-amt?price=40-50&priceBands=0-10%2c10-20%2c20-30%2c30-40%2c40-50,1903
"tree,john,our,orders,partners,at,on,jack,free,bauble,union,tourism,over,from,decorations,range,lewis,delivery,buy,baubles",4334.58,47,764,830,"union,partners,tourism,john,lewis,at,jack,bauble",product,https://www.johnlewis.com/john-lewis-partners-tourism-union-jack-bauble/p1765560,1903
"gb,en",7922.8,91,950,180,"windows,microsoft",,https://www.currys.co.uk/gbuk/windows10-1004-commercial.html#tab-3,1903
"beauty,orders,john,partners,over,lewis,shop,from,at,delivery,for,face,on,range,our,free,masks",11694.5,43,838,1106,"partners,john,lewis,face,masks",,https://www.johnlewis.com/browse/beauty/treatments-supplements-anti-ageing/face-masks/_/N-a56,1903
"today,department,shop,wide,our,the,sale,at,food,of,from,drink,range,and,more,find,preparation,online,kenwood,products",2562.55,10,625,144,"preparation,kenwood,sale,drink,food",,https://www.debenhams.com/sale/electricals/food-drink-preparation/kenwood,1903
"shop,in,the,at,on,any,trends,free,store,occasion,latest,order,bra,balcony,collect,and,find,padded,plunge,online,support,women,for,styles",2274.62,15,918,162,"surgery,post,bras",,https://www.marksandspencer.com/l/lingerie/bras/post-surgery-bras-n-c04d1ZtvZtyZ1z13p0iZuaZ22ys,1903
"shop,in,the,at,on,any,trends,free,store,occasion,latest,order,bra,balcony,collect,and,find,padded,plunge,online,support,women,for,styles",1676.63,6,904,138,"surgery,post,bras",,https://www.marksandspencer.com/l/lingerie/bras/post-surgery-bras-n-c04d1ZtvZtyZ1z13p13ZuaZ22ys,1903
"of,beauty,find,today,department,online,shop,from,at,chloé,wide,more,range,fragrance,and,products,our,the",3347.68,18,662,199,"beauty,chloé,fragrance",,https://www.debenhams.com/beauty/fragrance/chloe,1903
"of,beauty,find,today,department,online,shop,from,at,wide,more,range,fragrance,and,products,our,the",10826.2,15,771,396,"beauty,fragrance",,https://www.debenhams.com/webapp/wcs/stores/servlet/Navigate?storeId=10701&langId=-1&catalogId=10001&lid=//productsuniverse/en_GB/product_online%3DY/insearch%3D1/categories%3C%7Bproductsuniverse_59001%7D/categories%3C%7Bproductsuniverse_59001_3074457345617305318%7D/40.0%3Cprice%3C50.0,1903
